strain	date	clade_membership	country	region	age	age_range1	age_range2	age_range3	collab_country	date_added	symptom	author	accession	url
TW-00880-2014	2014-08-19	B3	Taiwan	China	46	18-64y	18-64y	>=18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711078	
EVD68/Homosapiens/VNM/VN10/2013	2013-01-28 (2013-01-01 - 2013-12-31)	B3	Vietnam	Southeast Asia			<18y	<18y		2019-07-15		Nguyen,N.N.	MF045422	
A250-OsakaC-JPN-2015	2015-09-17	B3	Japan	Japan Korea	1.17	1-5y	<18y	<18y		2019-07-15		Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC107900	
HongKong/CUHK47134	2015-11-11	B3	Hong Kong	China	9	6-17y	<18y	<18y		2019-07-15		Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.	MG739636	
A244-OsakaC-JPN-2015	2015-09-11	B3	Japan	Japan Korea	0.58	<1y	<18y	<18y		2019-07-15		Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC107899	
A241-OsakaC-JPN-2015	2015-08-07	B3	Japan	Japan Korea	0.17	<1y	<18y	<18y		2019-07-15		Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC107898	
HongKong/CUHK61194	2015-11-15	B3	Hong Kong	China	0.08	<1y	<18y	<18y		2019-07-15		Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.	MG739637	
A252-OsakaC-JPN-2015	2015-09-18	B3	Japan	Japan Korea	0.83	<1y	<18y	<18y		2019-07-15		Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC107901	
HongKong/CUHK12619	2015-10-08	B3	Hong Kong	China	0.42	<1y	<18y	<18y		2019-07-15		Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.	MG739633	
HongKong/CUHK16709	2015-10-14	B3	Hong Kong	China	7	6-17y	<18y	<18y		2019-07-15		Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.	MG739635	
