"","date","country","region","accession","accession_2","strain"
"300","2014-11-08","USA","North America","KT347231","KT347231.1","EVD68/Homosapiens/USA/MO40/2014"
"301","2014-12-01","Haiti","North America","KT266905","KT266905.1","EV-D68/Haiti/1/2014"
"302","2014-10-02","USA","North America","KP745755","KP745755.1","NY153"
"303","2014-09-14","USA","North America","KT995595","KT995595.1","USA/OR/2014-19073"
"304","2014-10-31","USA","North America","MK681500","MK681500.1","USA/CA/2014-RGDS-1035"
"305","2014-09-11","USA","North America","KT995556","KT995556.1","USA/LA/2014-19191"
"306","2014-09-15","USA","North America","KT995616","KT995616.1","USA/MI/2014-19251"
"307","2014-09-18","USA","North America","KT995609","KT995609.1","USA/VT/2014-19245"
"308","2014-09-12","USA","North America","KT995571","KT995571.1","USA/ND/2014-19205"
"309","2014-08-17","USA","North America","KT995536","KT995536.1","USA/OK/2014-19170"
"310","2014-09-17","USA","North America","KX351808","KX351808.1","EV-D68/Homosapiens/USA/SSENT25/2014"
"311","2014-09-30","USA","North America","KT995626","KT995626.1","USA/TX/2014-19261"
"312","2014-09-12","USA","North America","KT995603","KT995603.1","USA/SC/2014-19239"
